SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1210.55,1212.15,1200.10,1205.90,1208.75,1204.05,112,844,1019547.00,,INE117A01022,03-Aug-18,,
500003,AEGIS LOGIS ,A ,Q,250.00,250.00,245.20,247.40,246.35,241.15,262,7497,1855006.00,,INE208C01025,03-Aug-18,,
500008,AMAR RAJA BA,A ,Q,815.50,822.95,810.90,814.55,814.10,812.05,513,15563,12702038.00,,INE885A01032,03-Aug-18,,
500009,A.SARABHAI  ,X ,Q,12.61,13.05,12.30,13.03,13.05,12.56,71,43315,557248.00,,INE432A01017,03-Aug-18,,
500010,HDFC        ,A ,Q,1947.00,1980.00,1942.20,1974.35,1974.35,1932.65,2941,100547,197759727.00,,INE001A01036,03-Aug-18,,
500012,ANDHRA PETRO,X ,Q,64.90,66.00,64.00,65.00,65.00,63.55,498,122801,7997172.00,,INE714B01016,03-Aug-18,,
500013,ANSAL INFRAS,B ,Q,16.55,16.80,16.05,16.40,16.10,16.55,59,11207,183915.00,,INE436A01026,03-Aug-18,,
500014,APPLE FINANC,XT,Q,2.66,2.66,2.66,2.66,2.66,2.54,11,10716,28504.00,,INE096A01010,03-Aug-18,,
500016,ARUNA HOTEL ,XT,Q,13.46,13.50,13.46,13.50,13.50,13.46,2,101,1359.00,,INE957C01019,03-Aug-18,,
500020,BOM DYEING  ,T ,Q,265.05,281.00,263.15,279.65,278.30,268.50,1287,110924,30468054.00,,INE032A01023,03-Aug-18,,
500023,ASIANHOTNR  ,B ,Q,225.10,231.00,223.50,225.55,225.55,226.40,10,350,79444.00,,INE363A01022,03-Aug-18,,
500024,ASSAMCO     ,B ,Q,4.49,4.49,4.25,4.49,4.49,4.28,325,773082,3464739.00,,INE442A01024,03-Aug-18,,
500027,ATUL LTD.   ,A ,Q,2901.70,2950.00,2885.00,2921.90,2921.90,2901.25,136,1341,3919295.00,,INE100A01010,03-Aug-18,,
500028,ATV PROJECTS,XT,Q,9.15,9.55,8.80,9.55,9.55,9.10,32,19884,184478.00,,INE447A01015,03-Aug-18,,
500029,AUTOLITE(I) ,B ,Q,57.40,59.65,57.20,58.20,58.50,58.00,82,5557,321304.00,,INE448A01013,03-Aug-18,,
500031,BAJAJ ELECT.,A ,Q,597.40,616.00,597.35,604.00,604.00,595.05,1191,55443,33740090.00,,INE193E01025,03-Aug-18,,
500032,BAJAJHIND   ,A ,Q,6.71,6.86,6.71,6.78,6.83,6.70,642,206615,1403184.00,,INE306A01021,03-Aug-18,,
500033,FORCE MOTR  ,B ,Q,2568.10,2674.00,2553.00,2624.95,2624.95,2565.55,2541,29727,77833019.00,,INE451A01017,03-Aug-18,,
500034,BAJFINANCE  ,A ,Q,2734.80,2734.80,2660.45,2680.05,2680.05,2683.35,2585,46094,123710647.00,,INE296A01024,03-Aug-18,,
500038,BALRAM.CHINI,A ,Q,73.35,73.40,71.45,71.80,71.80,72.95,1725,550061,39633528.00,,INE119A01028,03-Aug-18,,
500039,BANCO PROD. ,B ,Q,207.65,207.75,205.30,205.90,206.65,205.65,91,5707,1177589.00,,INE213C01025,03-Aug-18,,
500040,CENTURY TEXT,A ,Q,908.00,918.50,902.00,912.05,913.00,904.05,1290,60999,55505757.00,,INE055A01016,03-Aug-18,,
500041,BANNARI AMAN,B ,Q,1460.95,1461.00,1460.95,1461.00,1461.00,1430.00,2,2,2921.00,,INE459A01010,03-Aug-18,,
500042,BASF INDIA  ,B ,Q,1920.10,1974.60,1920.10,1947.00,1949.00,1955.60,146,724,1415203.00,,INE373A01013,03-Aug-18,,
500043,BATA INDIA  ,A ,Q,937.90,943.45,933.00,938.65,938.65,933.30,1387,34001,31895425.00,,INE176A01028,03-Aug-18,,
500048,BEML LTD    ,A ,Q,914.55,928.50,903.55,911.25,911.25,910.55,2609,106403,97496906.00,,INE258A01016,03-Aug-18,,
500049,BHARAT ELECT,A ,Q,117.45,120.05,116.75,119.30,119.30,116.75,3440,681459,80697813.00,,INE263A01024,03-Aug-18,,
500052,BHANSALI ENG,B ,Q,155.00,157.80,145.50,148.15,148.15,155.25,3155,265286,40370173.00,,INE922A01025,03-Aug-18,,
500055,BHUSH STEEL ,B ,Q,29.95,30.30,29.50,30.30,30.30,28.90,751,483036,14582398.00,,INE824B01021,03-Aug-18,,
500058,BIHAR SPONGE,XT,Q,1.10,1.10,1.10,1.10,1.10,1.05,5,803,883.00,,INE819C01011,03-Aug-18,,
500059,BINANI IND. ,B ,Q,85.05,87.60,85.05,87.25,86.70,85.70,85,5832,506008.00,,INE071A01013,03-Aug-18,,
500060,BIRLACABLE  ,B ,Q,101.50,101.85,100.00,101.85,101.85,97.00,100,7758,788247.00,,INE800A01015,03-Aug-18,,
500067,BLUE STAR   ,A ,Q,695.00,697.00,669.00,683.45,686.55,670.55,206,2337,1584492.00,,INE472A01039,03-Aug-18,,
500068,DISA INDIA  ,X ,Q,6000.00,6000.00,6000.00,6000.00,6000.00,5981.80,2,2,12000.00,,INE131C01011,03-Aug-18,,
500069,BNK CAPITAL ,X ,Q,90.65,91.35,90.65,91.35,91.35,90.50,8,1366,124600.00,,INE418C01012,03-Aug-18,,
500074,BPL LTD.    ,B ,Q,56.20,59.00,55.90,56.90,56.90,55.55,806,85311,4901706.00,,INE110A01019,03-Aug-18,,
500078,OAL         ,X ,Q,817.00,817.00,800.05,805.10,800.05,802.50,9,60,48482.00,,INE959C01015,03-Aug-18,,
500083,CENTURY EXT ,B ,Q,6.40,6.40,5.76,5.80,5.80,5.80,36,15723,92433.00,,INE281A01026,03-Aug-18,,
500084,CESC LTD.   ,A ,Q,931.20,944.40,930.05,934.00,936.50,926.30,591,10273,9613263.00,,INE486A01013,03-Aug-18,,
500085,CHAMBAL FERT,A ,Q,144.30,147.15,143.70,145.10,145.10,143.45,309,23142,3361327.00,,INE085A01013,03-Aug-18,,
500086,EXIDE IND.  ,A ,Q,271.25,274.35,270.65,273.00,273.50,271.10,819,68641,18713430.00,,INE302A01020,03-Aug-18,,
500087,CIPLA LTD.  ,A ,Q,642.00,647.50,639.05,640.55,640.60,638.15,1800,371327,238441349.00,,INE059A01026,03-Aug-18,,
500089,DIC INDIA   ,B ,Q,435.00,435.00,433.00,433.00,433.00,431.00,11,84,36438.00,,INE303A01010,03-Aug-18,,
500092,CRISIL LTD  ,A ,Q,1769.85,1769.90,1741.30,1744.80,1747.90,1757.85,83,1402,2461149.00,,INE007A01025,03-Aug-18,,
500093,CGPOWER     ,A ,Q,62.45,63.45,61.10,62.60,62.60,61.40,4141,1745406,109165691.00,,INE067A01029,03-Aug-18,,
500096,DABUR (I)   ,A ,Q,422.00,441.30,422.00,436.40,435.60,428.70,2772,196142,85408683.00,,INE016A01026,03-Aug-18,,
500097,DALMIASUG   ,B ,Q,61.15,61.15,59.45,60.10,60.70,59.10,150,13277,798274.00,,INE495A01022,03-Aug-18,,
500101,ARVIND Ltd  ,A ,Q,411.70,422.40,410.75,420.15,420.15,412.95,1534,142214,59284493.00,,INE034A01011,03-Aug-18,,
500102,BALARPUR IND,B ,Q,10.20,10.29,10.00,10.05,10.05,10.00,314,240702,2439779.00,,INE294A01037,03-Aug-18,,
500103,BHEL        ,A ,Q,74.20,74.60,73.70,73.90,73.90,73.60,1801,483875,35854077.00,,INE257A01026,03-Aug-18,,
500104,HIND.PETRO  ,A ,Q,290.00,294.00,288.60,292.30,292.30,292.35,9182,185372,54108506.00,,INE094A01015,03-Aug-18,,
500106,IFCI LTD    ,A ,Q,16.60,17.00,16.50,16.70,16.70,16.55,936,1035389,17321127.00,,INE039A01010,03-Aug-18,,
500108,MAHA.TELE   ,B ,Q,15.90,16.45,15.80,16.25,16.25,15.75,391,199301,3220064.00,,INE153A01019,03-Aug-18,,
500109,MRPL        ,A ,Q,84.35,85.90,83.25,84.05,84.05,84.65,856,113877,9644047.00,,INE103A01014,03-Aug-18,,
500110,CHENNAI PET.,A ,Q,327.00,327.00,313.00,314.70,314.70,326.75,1678,93580,29709859.00,,INE178A01016,03-Aug-18,,
500111,REL.CAP.    ,A ,Q,412.00,422.65,408.35,412.40,412.40,410.55,6574,764981,316678063.00,,INE013A01015,03-Aug-18,,
500112,STATE BANK  ,A ,Q,295.40,299.15,294.05,298.60,298.60,294.00,15433,3477241,1029427432.00,,INE062A01020,03-Aug-18,,
500113,STEEL AUTH. ,A ,Q,81.00,81.50,78.20,79.05,79.05,79.95,4095,1771573,141223465.00,,INE114A01011,03-Aug-18,,
500114,TITAN       ,A ,Q,925.00,942.00,902.40,918.30,918.30,920.70,10422,558170,515649663.00,,INE280A01028,03-Aug-18,,
500116,IDBI BANK L ,A ,Q,62.60,62.95,61.65,61.90,61.90,62.20,3175,1394536,86749413.00,,INE008A01015,03-Aug-18,,
500117,DCW LTD.    ,B ,Q,24.55,25.20,24.15,24.95,24.95,24.45,367,78223,1939429.00,,INE500A01029,03-Aug-18,,
500119,DHAMPUR SUGA,B ,Q,93.00,94.50,92.00,93.85,93.85,92.50,1022,101557,9478144.00,,INE041A01016,03-Aug-18,,
500120,DIAMINES&CHM,X ,Q,91.35,94.90,90.05,93.95,93.95,90.60,92,6083,561865.00,,INE591D01014,03-Aug-18,,
500123,ELANTAS     ,B ,Q,2019.95,2020.00,2000.00,2015.25,2016.00,2001.20,45,148,298392.00,,INE280B01018,03-Aug-18,,
500124,DR.REDDY'S  ,A ,Q,2235.00,2290.00,2230.45,2281.95,2281.95,2225.80,3348,92911,211121630.00,,INE089A01023,03-Aug-18,,
500125,E.I.D.PAR   ,A ,Q,233.70,238.30,230.55,232.05,232.05,231.75,429,14405,3370771.00,,INE126A01031,03-Aug-18,,
500126,MERCK LTD   ,B ,Q,2255.00,2439.00,2240.75,2406.40,2406.40,2218.75,962,8584,20289826.00,,INE199A01012,03-Aug-18,,
500128,ELEC.CASTING,B ,Q,22.45,22.85,22.45,22.80,22.75,22.40,177,45717,1038348.00,,INE086A01029,03-Aug-18,,
500132,EMPEE SUGARS,XT,Q,1.38,1.39,1.35,1.39,1.39,1.37,11,3007,4065.00,,INE928B01012,03-Aug-18,,
500133,ESAB INDIA  ,B ,Q,708.00,710.00,691.05,695.80,699.00,690.90,59,426,298534.00,,INE284A01012,03-Aug-18,,
500135,ESSEL PROP  ,B ,Q,108.80,108.80,106.40,106.90,106.40,106.65,89,6520,699260.00,,INE255A01020,03-Aug-18,,
500136,ESTER INDUS.,B ,Q,51.35,53.55,50.35,52.40,53.10,50.70,209,18891,980124.00,,INE778B01029,03-Aug-18,,
500139,FEDDERELEC  ,B ,Q,24.70,25.35,24.50,25.35,25.35,24.15,76,18020,452863.00,,INE249C01011,03-Aug-18,,
500141,FERRO ALLOYS,X ,Q,4.60,5.06,4.60,5.06,5.06,4.60,82,69591,343806.00,,INE912A01026,03-Aug-18,,
500142,FGP LTD.    ,XT,Q,0.91,0.91,0.87,0.87,0.87,0.91,4,115,100.00,,INE512A01016,03-Aug-18,,
500144,FINOL. CABLE,A ,Q,615.80,622.75,606.00,619.25,622.75,616.55,88,1117,685047.00,,INE235A01022,03-Aug-18,,
500147,CMI FPE     ,X ,Q,760.05,765.00,741.10,765.00,765.00,760.05,53,467,354794.00,,INE515A01019,03-Aug-18,,
500148,UFLEX LTD   ,A ,Q,277.50,284.45,277.50,282.90,282.90,276.90,752,22453,6307101.00,,INE516A01017,03-Aug-18,,
500150,FOSECO INDIA,B ,Q,1345.00,1358.00,1317.00,1356.00,1356.00,1344.60,32,262,354052.00,,INE519A01011,03-Aug-18,,
500151,GOLDEN TOB  ,T ,Q,41.25,41.25,41.25,41.25,41.25,43.40,1,50,2062.00,,INE973A01010,03-Aug-18,,
500153,GANESH BENZO,X ,Q,72.55,77.50,72.55,74.65,74.65,73.50,718,128475,9582625.00,,INE388A01029,03-Aug-18,,
500155,GARDEN SILK ,B ,Q,29.80,30.25,28.50,28.85,28.85,27.35,413,38652,1131660.00,,INE526A01016,03-Aug-18,,
500159,METROGLOBL  ,X ,Q,77.00,77.00,71.20,72.20,72.20,70.30,8,253,18309.00,,INE085D01033,03-Aug-18,,
500160,GTL LTD.    ,B ,Q,6.97,7.80,6.95,7.31,7.31,7.09,216,49213,365739.00,,INE043A01012,03-Aug-18,,
500163,GODFREY PH  ,A ,Q,823.75,839.20,820.05,831.50,831.50,823.90,284,5820,4830967.00,,INE260B01028,03-Aug-18,,
500164,GODREJ IND  ,A ,Q,635.30,642.60,619.20,623.40,625.00,632.15,951,22529,14225148.00,,INE233A01035,03-Aug-18,,
500165,KANSAI NERO ,A ,Q,476.40,477.75,473.10,476.90,477.00,472.00,292,4426,2105885.00,,INE531A01024,03-Aug-18,,
500166,GOODRICKE   ,X ,Q,287.00,296.90,287.00,289.85,287.10,289.60,104,3753,1092699.00,,INE300A01016,03-Aug-18,,
500168,GOODYEAR (I),B ,Q,1178.00,1200.00,1175.40,1180.50,1179.10,1177.20,216,2028,2407046.00,,INE533A01012,03-Aug-18,,
500170,GTN INDUS   ,B ,Q,17.20,17.90,16.90,17.05,17.00,16.40,29,5270,90336.00,,INE537A01013,03-Aug-18,,
500171,GHCL LTD    ,A ,Q,247.45,250.50,247.20,248.10,247.75,247.95,142,4762,1184542.00,,INE539A01019,03-Aug-18,,
500173,GUJ.FLOURO  ,B ,Q,760.00,775.00,755.00,762.85,762.85,769.30,131,1431,1092905.00,,INE538A01037,03-Aug-18,,
500179,HCL INFOSYS ,A ,Q,36.55,37.30,36.25,36.60,36.60,36.30,803,208926,7674910.00,,INE236A01020,03-Aug-18,,
500180,HDFC BANK   ,A ,Q,2130.25,2146.30,2115.05,2121.00,2121.00,2129.25,2833,93651,199427302.00,,INE040A01026,03-Aug-18,,
500182,HEROMOTOCO  ,A ,Q,3268.35,3283.90,3231.50,3246.10,3243.60,3266.75,1297,17281,56314299.00,,INE158A01026,03-Aug-18,,
500183,HIMACHAL FUT,A ,Q,25.75,25.95,25.25,25.45,25.45,25.70,1468,1181279,30137059.00,,INE548A01028,03-Aug-18,,
500184,HSCL        ,B ,Q,145.30,147.95,142.85,144.65,144.65,144.95,1427,130214,18966076.00,,INE019C01026,03-Aug-18,,
500185,HIND.CONSTN.,A ,Q,11.61,11.99,11.60,11.70,11.70,11.53,1071,1476936,17333434.00,,INE549A01026,03-Aug-18,,
500186,HIND.OIL EXP,B ,Q,141.60,145.30,141.35,142.10,142.10,140.75,1395,157759,22588385.00,,INE345A01011,03-Aug-18,,
500187,HSIL        ,B ,Q,333.00,333.00,320.10,330.95,330.95,329.50,185,10033,3310155.00,,INE415A01038,03-Aug-18,,
500188,HINDUS.ZI   ,A ,Q,281.85,283.65,280.90,282.40,282.00,281.10,825,178685,50397402.00,,INE267A01025,03-Aug-18,,
500189,HINDUJA VENT,B ,Q,629.00,650.00,620.00,624.45,624.45,624.65,80,1379,870962.00,,INE353A01023,03-Aug-18,,
500191,HMT LTD.    ,Z ,Q,23.95,23.95,22.80,23.45,23.45,23.00,20,3415,80133.00,,INE262A01018,03-Aug-18,,
500192,PRAG BOSIMI ,XT,Q,3.48,3.64,3.48,3.64,3.64,3.63,4,500,1756.00,,INE962B01011,03-Aug-18,,
500193,HOTEL LEELA.,B ,Q,16.10,16.25,15.85,15.90,15.85,16.10,73,37170,595341.00,,INE102A01024,03-Aug-18,,
500199,I.G.PETRO   ,B ,Q,467.00,484.00,463.30,481.15,481.15,462.60,512,11792,5573833.00,,INE204A01010,03-Aug-18,,
500201,IND.GLYCOLS ,B ,Q,495.25,500.00,482.70,489.00,489.00,491.15,375,18911,9288283.00,,INE560A01015,03-Aug-18,,
500207,INDO RAMA   ,B ,Q,27.40,28.00,27.25,27.55,27.55,27.50,23,2891,79585.00,,INE156A01020,03-Aug-18,,
500209,INFOSYS LTD ,A ,Q,1360.00,1366.40,1356.40,1364.10,1364.10,1355.40,2169,1581820,2149864331.00,,INE009A01021,03-Aug-18,,
500210,INGERSOLL   ,B ,Q,543.10,554.00,540.00,544.30,544.30,540.15,198,1981,1079263.00,,INE177A01018,03-Aug-18,,
500211,INSILCO LTD.,X ,Q,20.05,21.90,20.05,20.50,20.50,21.50,64,10627,220772.00,,INE901A01011,03-Aug-18,,
500212,INTEG.FIN.SE,XT,Q,32.50,32.50,32.50,32.50,32.50,32.40,1,78,2535.00,,INE898B01017,03-Aug-18,,
500213,INTER.TRAVEL,X ,Q,175.65,184.00,175.60,180.05,180.70,178.70,58,2063,373795.00,,INE262B01016,03-Aug-18,,
500214,ION EXCHANGE,XT,Q,403.00,405.00,390.10,396.20,395.10,397.30,294,5403,2148411.00,,INE570A01014,03-Aug-18,,
500215,AGRO TECH FO,B ,Q,655.00,655.30,642.55,650.45,650.45,652.00,40,791,514235.00,,INE209A01019,03-Aug-18,,
500219,JAIN IRRIG  ,A ,Q,82.05,84.45,81.80,82.90,82.90,81.65,1606,590227,49143753.00,,INE175A01038,03-Aug-18,,
500220,JASCH INDUST,X ,Q,63.30,65.40,63.20,63.75,63.20,63.15,22,1826,117601.00,,INE711C01010,03-Aug-18,,
500223,JCT LTD     ,X ,Q,2.01,2.14,2.00,2.11,2.11,2.05,129,157424,330837.00,,INE945A01026,03-Aug-18,,
500227,JINDAL POLYF,B ,Q,279.80,287.75,270.00,280.70,278.05,276.60,929,34038,9529617.00,,INE197D01010,03-Aug-18,,
500228,JSWSL       ,A ,Q,332.60,337.90,332.60,336.45,336.45,332.00,1317,125126,42061820.00,,INE019A01038,03-Aug-18,,
500231,UMANG DAIR  ,B ,Q,87.35,88.50,86.35,87.35,87.50,86.60,66,6287,549896.00,,INE864B01027,03-Aug-18,,
500233,KAJARIA CER.,A ,Q,460.25,461.20,455.00,458.30,457.00,457.50,554,21850,10025649.00,,INE217B01036,03-Aug-18,,
500234,KAKATIYA CEM,B ,Q,265.00,268.50,262.75,263.70,263.70,260.30,413,15128,4021079.00,,INE437B01014,03-Aug-18,,
500235,KALYANI STEL,B ,Q,261.90,274.55,260.50,272.50,272.50,258.50,591,15938,4280306.00,,INE907A01026,03-Aug-18,,
500238,WHIRLPOOL   ,A ,Q,1759.90,1772.00,1750.00,1768.60,1761.00,1742.25,228,2329,4108984.00,,INE716A01013,03-Aug-18,,
500239,KG DENIM    ,X ,Q,36.00,37.20,36.00,36.50,36.50,35.75,28,2751,100283.00,,INE104A01012,03-Aug-18,,
500240,KINETIC ENG.,X ,Q,53.35,57.55,53.00,57.55,57.55,52.35,83,10667,599985.00,,INE266B01017,03-Aug-18,,
500241,KIRL.BROS.  ,B ,Q,272.00,274.20,266.00,266.75,266.30,271.00,83,1265,340412.00,,INE732A01036,03-Aug-18,,
500243,KIRL INDUS  ,B ,Q,1162.20,1168.00,1120.00,1120.00,1120.00,1191.95,12,48,54700.00,,INE250A01039,03-Aug-18,,
500245,KIRL.FERROUS,B ,Q,80.10,83.00,80.10,81.45,81.45,80.40,503,455173,36722907.00,,INE884B01025,03-Aug-18,,
500246,ENVAIN ELECT,XT,Q,80.05,80.05,80.05,80.05,80.05,81.65,6,406,32500.00,,INE601C01013,03-Aug-18,,
500247,KOTAK MAH.BK,A ,Q,1295.00,1314.00,1289.40,1309.20,1309.20,1281.00,4360,96262,125374536.00,,INE237A01028,03-Aug-18,,
500249,KSB PUMPS   ,B ,Q,788.00,821.00,788.00,802.50,805.00,786.20,63,297,237448.00,,INE999A01015,03-Aug-18,,
500250,L.G.BALKRISH,B ,Q,550.00,560.00,534.80,539.85,541.75,542.95,142,1978,1069372.00,,INE337A01034,03-Aug-18,,
500251,TRENT LTD.  ,A ,Q,355.00,366.45,350.00,352.90,350.00,354.80,298,8401,3013706.00,,INE849A01020,03-Aug-18,,
500252,LAKSHMI MACH,A ,Q,7515.05,7595.30,7511.00,7536.80,7536.80,7499.50,254,781,5901337.00,,INE269B01029,03-Aug-18,,
500253,LIC HOUS.FIN,A ,Q,538.00,542.90,531.00,540.40,540.40,529.25,1175,90072,48474998.00,,INE115A01026,03-Aug-18,,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,19,25854,4912.00,,INE292A01023,03-Aug-18,,
500257,LUPIN LTD.  ,A ,Q,868.50,894.00,864.40,886.25,886.25,865.00,4811,417682,368513776.00,,INE326A01037,03-Aug-18,,
500259,LYKA LABS   ,B ,Q,39.00,39.60,37.40,39.15,39.30,39.05,193,29027,1130220.00,,INE933A01014,03-Aug-18,,
500260,RAMCOCEM    ,A ,Q,694.20,696.35,673.75,678.70,678.70,695.65,736,24120,16470454.00,,INE331A01037,03-Aug-18,,
500264,MAFATLAL IND,X ,Q,220.00,220.00,217.00,217.35,217.00,220.00,18,222,48494.00,,INE270B01027,03-Aug-18,,
500265,MAH.SEAMLESS,B ,Q,466.80,473.95,466.80,471.00,471.00,472.85,33,837,394027.00,,INE271B01025,03-Aug-18,,
500266,MAH.SCOOTER ,B ,Q,2952.60,3079.75,2952.60,3072.15,3070.00,3062.55,84,512,1568519.00,,INE288A01013,03-Aug-18,,
500267,MAJESTIC AUT,X ,Q,141.00,141.00,135.15,137.80,138.00,137.00,13,667,92688.00,,INE201B01022,03-Aug-18,,
500268,MANALI PETRO,B ,Q,49.50,52.20,49.50,50.90,50.90,49.35,1713,439310,22423526.00,,INE201A01024,03-Aug-18,,
500271,MFSL        ,A ,Q,518.20,522.30,515.40,518.95,518.95,517.75,942,34633,17991826.00,,INE180A01020,03-Aug-18,,
500279,MIRC ELECT  ,B ,Q,34.05,34.05,32.95,33.25,33.25,33.55,262,73983,2467346.00,,INE831A01028,03-Aug-18,,
500280,CENTURY ENKA,B ,Q,288.55,298.25,287.85,295.20,295.20,287.20,611,22331,6589801.00,,INE485A01015,03-Aug-18,,
500284,LORDS CHLORO,XT,Q,47.50,47.50,47.50,47.50,47.50,45.25,6,160,7600.00,,INE846D01012,03-Aug-18,,
500285,SPICEJET LTD,B ,Q,97.00,97.65,94.00,95.30,95.30,97.00,11329,2685259,256145551.00,,INE285B01017,03-Aug-18,,
500288,MOREPEN LAB.,B ,Q,34.75,36.20,34.20,34.80,34.80,35.05,1326,378680,13336963.00,,INE083A01026,03-Aug-18,,
500290,MRF LTD.    ,A ,Q,78652.40,79200.00,78325.10,78426.40,78426.40,78460.70,183,230,18105308.00,,INE883A01011,03-Aug-18,,
500292,HEIDEL CEM  ,A ,Q,155.85,162.00,155.35,159.30,159.30,154.50,555,36815,5868455.00,,INE578A01017,03-Aug-18,,
500294,NCC         ,A ,Q,94.05,94.80,91.35,92.10,92.10,93.90,2540,920263,85834018.00,,INE868B01028,03-Aug-18,,
500295,VEDL        ,A ,Q,215.90,223.50,215.00,221.85,221.85,214.15,6715,1019151,224628922.00,,INE205A01025,03-Aug-18,,
500296,NAHAR SPG.  ,B ,Q,93.00,97.00,93.00,95.10,95.50,91.60,91,7439,709604.00,,INE290A01027,03-Aug-18,,
500298,NAT.PEROXIDE,B ,Q,3995.95,3995.95,3653.00,3716.60,3716.60,3805.70,2203,24221,92966815.00,,INE585A01020,03-Aug-18,,
